term,meaning,type,latin,native,language
hikif,scope,o,hekef,הֶיקֵּף,hebrew
hikir,recognize,a,hikír,הִכִּיר,hebrew
hikuk,friction,o,chikuch,חִיכּוּךְ,hebrew
hikul,curve,o,ikul,עִיקּוּל,hebrew
hiltac,hesitate,a,iltāṯa,اِلْتَاثَ,arabic
hiluf,replace,a,chiluf,חִילּוּף,hebrew
hiluk,partition,o,chiluk,חִילּוּק,hebrew
hilul,desecrate,a,chilul,חִילּוּל,hebrew
hilum,trauma,o,helem,הֶלֶם,hebrew
hilutz,constrain,a,ilutz,אִילּוּץ,hebrew
him,chime,a,,,
himik,drinking water,o,,ᐃᒥᖅ,inuktitut
himpak,impact,o,,,english
himsiq,invent,a,himtsí,הִמְצִיא,hebrew
himun,confidence,o,emun,אֵמוּן,hebrew
himur,bet (gamble),o,himur,הִימּוּר,hebrew
himux,ammunition,o,chimush,חִימּוּשׁ,hebrew
hin,conclude,a,,,
hinbac,emerge,a,inbaʿaṯa,اِنْبَعَثَ,arabic
hinsurt,insert,a,,,english
hintxan,inch (measurement),o,,,english
hinvort,invertebrate,o,,,
hir,hear,a,,,english
hirak,diamond,o,,हीरक,sanskrit
hiram,flounder (fish),o,hirame,ヒラメ,japanese
hiratz,country,o,eretz,אֶרֶץ,hebrew
hirav,sword,o,cherev,חֶרֶב,hebrew
hirtxek,furthermore,m,érqiě,而且,chinese
hiruk,out of sight,m,hiruk,हिरुक्,sanskrit
hirum,emergency,o,cherum,חֵירוּם,hebrew
his,inverse,m,,,english
hisbak,explain,a,hesbeQ,הֶסבֵּר,hebrew
hispik,suffice,a,hispík,הִסְפִּיק,hebrew
hisul,eliminate,a,chisul,חִיסּוּל,hebrew
hit,hour,o,,,
hitak,thrust,a,lehitak(e)a,לְהִיתָּקֵעַ,hebrew
hitik,anus,o,,ᐃᑎᖅ,inuktitut
hitkaf,spasm,o,hetkef,הֶתְקֵף,hebrew
hitkan,device,o,hetken,הֶתְקֵן,hebrew
hitkat,ingratiate,a,lehitHat(e),לְהִתְחַטֵּא,hebrew
hitmet,intimate,m,intimate,,english
hitpak,explode,a,lehitpak(e)a,לְהִתְפַּקֵּעַ,hebrew
hitrap,recover,a,lehitRap(e),לְהִתְרַפֵּא,hebrew
hituk,bisect,a,chituch,חיתוך,hebrew
hitx,each,m,,,english
hitxat,search,a,,इच्छति,sanskrit
hitziv,sad,o,etzev,עֶצֶב,hebrew
hitzum,climax,o,itzum,עִיצּוּם,hebrew
hitzuv,design,o,itzuv,עִיצּוּב,hebrew
hivad,slave,o,eved,עֶבֶד,hebrew
hivxux,rustle,a,ivshush,אִיווְשׁוּשׁ,hebrew
hixkol,cluster,o,eshkol,אֶשְׁכּוֹל,hebrew
hixpuz,hospital,o,ishpuz,אִשְׁפּוּז,hebrew
hixvar,supreme,m,Ishvara,ईश्वर,sanskrit
hiyum,threat,o,iyum,אִיּוּם,hebrew
hizir,warn,a,hizhír,הִזְהִיר,hebrew
hiznik,neglect,a,hizníakh,הִזְנִיחַ,hebrew
hizun,equilibrium,o,izun,אִיזּוּן,hebrew
hodem,red,m,odem,אוֹדֶם,hebrew
hof,oh,m,,,english
hofen,manner,o,ofen,אֹפֶן,hebrew
hofik,horizon,o,ofek,אֹפֶק,hebrew
hoger,hoard,a,ogér,אוֹגֵר,hebrew
hohil,tent,o,ohel,אוֹהֶל,hebrew
hok,agree,o,,,
hokban,partner,o,huoban,伙伴,chinese
hokek,length,o,oQeHe,אֹרֶךְ,hebrew
hol,whole,o,,,english
holal,generate,a,leHol(e)l,לְחוֹלֵל,hebrew
holam,world,o,olam,עוֹלָם,hebrew
hold,h sound,o,,,
holik,lead,a,lehol(i)H,לְהוֹלִיךְ,hebrew
holzem,latter,o,hòu zhě,后者,chinese
hom,home,o,,,english
homan,ohm (measurement),o,,,
hon,focus,a,,,
honot,swindle,a,lehon(o)t,לְהוֹנוֹת,hebrew
hontzan,ounce,o,,,english
honuk,regret,a,houhui,后悔,chinese
hopek,opaque,m,,,english
hopok,perky,m,huó pō,活泼,chinese
hopol,vivacious,m,huó pō,活泼,chinese
hornet,wasp,o,,,english
hostik,osteichthyes,o,,,
hotat,scallop,o,hotate,ほたて,japanese
hotzar,treasure,o,otzar,אוֹצָר,hebrew
hoval,transport,a,hovala,הוֹבָלָה,hebrew
hovan,debt,o,chova,חוֹבָה,hebrew
hovex,medicine,o,chovesh,חוֹבֵשׁ,hebrew
hoxit,provide,a,lehox(i)t,לְהוֹשִׁיט,hebrew
hoyav,enemy,o,oyev,אוֹיֵב,hebrew
hozak,strength,o,chozek,חוֹזֶק,hebrew
hub,x-axis,o,,,
hudan,guide,a,hudan,هُدًى,arabic
hudj,vowel u sound,o,,,
hudum,care,o,huduma,,swahili
hugran,furious,m,,उग्र,sanskrit
huksuk,blubber,o,,ᐅᖅᓱᖅ,inuktitut
hulbin,currency,o,huò bì,货币,chinese
hulek,ignore,a,hūluè,忽略,chinese
hulgap,repent,a,huigai,悔改,chinese
hulip,gorgeous,m,huali,华丽,chinese
hulwek,feisty,m,huó yuè,活跃,chinese
hum,oppose,a,,,
humok,sneak,a,laHm(o)k,לַחְמוֹק,hebrew
humus,hummus,o,chumus,חוּמוּס,hebrew
hunak,harpoon,o,,ᐅᓈᖅ,inuktitut
hunik,sea urchin,o,uni,うに,japanese
hunlit,wedding,o,hūn lǐ,婚礼,chinese
hunmat,frantic,m,,उन्मत्त,sanskrit
hunyan,baboon,o,nyani,,swahili
hupand,turn,a,upande,,swahili
hupol,snap,a,huó pō,活泼,chinese
huprat,upright,m,,,english
hutak,seam,o,ħūṭāˀ,חוּטָא,hebrew
hutam,invoke,o,hūtá,हूत,sanskrit
hutxik,train (car),a,huoche,火车,chinese
hutxit,accustom,o,ucitá,उचित,sanskrit
hutxuk,fetch,o,huoqu,获取,chinese
huvkan,diagnose,o,uv'khán,אֻבְחַן,hebrew
huvtak,secure,o,uv'tákh,אֻבְטַח,hebrew
huxan,mutual,m,hùxiāng,互相,chinese
huz,that,m,,,
hwaqyol,butter,a,huáng yóu,黄油,chinese
hyum,hue,a,,,english
jabyer,legging,a,jambière,,french
jak,count,o,,,
jaket,jacket,a,jaquette,,french
jakter,chat,o,jacter,,french
jalf,j sound,a,,,
jalim,jelly,a,gelée,,french
jalus,jealous,m,jaloux,,french
jar,run,a,jara,جَرَى,arabic
jaret,jar,o,jarre,,french
jas,just (close-focus),m,,,english
jasten,joust,a,joute,,french
javel,swathe,a,javelle,,french
jazer,gossip,a,jaser,,french
jen,generating,a,,,
jet,throw,a,jeté,,french
jeton,token,a,jeton,,french
jirer,swear,a,jurer,,french
jit,digit,a,,,english
jixip,knowledge,o,zhīshì,知识,chinese
jon,and,a,,,
jontif,contiguous,a,jointif,,french
jonxer,scatter,a,joncher,,french
joqkil,daffodil,a,jonquille,,french
jor,measure,a,,,english
jovyal,jovial,a,jovial,,french
jower,play,a,jouer,,french
jul,general,a,,,
jur,measure,o,,,
jwayot,happy,a,joyeux,,french
kabal,reception,a,kabala,קַבָּלָה,hebrew
kabil,accept,a,qabila,قَبِلَ,arabic
kabir,city,a,kabīr,كَبِير ,arabic
kabit,evil,a,ḵabīṯ,خَبِيث,arabic
kabor,bury,a,likb(o)R,לִקְבּוֹר,hebrew
kaCab,lie,a,kaḏaba,كَذَبَ,arabic
kacac,furniture,a,ʔaṯāṯ,أثاث,arabic
kaCap,abuse,a,ʾāḏā,آذَى,arabic
kaCif,projectile,a,qaḏīfa,قَذِيفَة,arabic
kacir,viscous,a,ḵāṯir,خَاثِر,arabic
kad,could,a,,,english
kadal,banana,a,kadalī,कदली,sanskrit
kadan,tooth,a,khādana,खादन,sanskrit
kadat,succumb,a,khadaa,خَضَعَ,arabic
kadib,angry,a,ḡaḍiba,غَضِبَ,arabic
kadid,helmet,a,ḥadīd,حَدِيد,arabic
kadjul,ashamed,a,khajôl,خَجُوْل,arabic
kadol,coddle,a,,,english
kadom,precede,a,likd(o)m,לִקְדּוֹם,hebrew
kadur,sphere,a,kadur,כַּדּוּר,hebrew
kaf,much (large-lot-focus),a,,,
kafaf,extenuate,a,khaffafa,خَفَّفَ,arabic
kafag,exploitation,a,kaifa,开发,chinese
kafar,close oneself off,a,kafara,كَفَرَ,arabic
kafif,subordinate,a,kafif,כָּפִיף,hebrew
kafitz,coil,a,kfitz,קְפִיץ,hebrew
kafkaf,flip-flop,a,kafkaf,כַּפְכָּף,hebrew
kaftor,button,a,kaftor,כַּפְתּוֹר,hebrew
kafug,customer,a,kefu,客服,chinese
kag,node,a,,,
kagag,celebrate,o,khagág,חָגַג,hebrew
kahal,audience,a,kahal,קָהָל,hebrew
kahil,community,a,kehila,קְהִילָּה,hebrew
kahol,blue,m,kahol,כָּחֹל,hebrew
kajol,cajole,a,cajoler,,french
kajul,cashew,a,acajou,,french
kakak,mountain,a,,ᖃᖅᑲᖅ,inuktitut
kakam,smart,a,khakhám,חָכָם,hebrew
kakit,oyster,a,kaki,牡蠣,japanese
kakor,basin,a,khakhor,ཁ་ཁོར,tibetan
kaktas,cactus,a,,,english
kaktrup,refutation/proof,a,gakdrup,དགག་སྒྲུབ,tibetan
kaktuk,hunger,a,,ᑳᒃᑐᖅ,inuktitut
kakum,assiduous,m,keku,刻苦,chinese
kakuz,cuckoo,a,,,english
kakyak,promise,a,khakhyak,ཁ་ཁྱག,tibetan
kal,time,a,kala,काल,sanskrit
kalal,scour,o,ḵallala,خَلَّلَ ,arabic
kalib,victory,a,ḡālib,غَالِب ,arabic
kalif,successor,a,ḵalīfa,خَلِيفَة,arabic
kalil,scarcity,a,qalīl,قَلِيل,arabic
kalim,black,m,kālī,काली,sanskrit
kalit,leporidae (hare),a,ukaliit,ᐅᑲᓖᑦ,inuktitut
kalitz,rescue,o,leHal(e)tz,לְחַלֵּץ,hebrew
kalkal,economy,a,kalkala,כַּלְכָּלָה,hebrew
kalon,disgrace,o,kalon,קָלוֹן,hebrew
kalox,dominate,o,laHal(o)x,לַחֲלוֹשׁ,hebrew
kalud,collude,o,,,english
kaluk,trout,a,,ᐃᖃᓗᒃ,inuktitut
kalut,ease,o,kalut,קַלּוּת,hebrew
kalv,kelvin,a,,,english
kalxaq,oven,o,kǎo xiāng,烤箱,chinese
kam,five,m,,,
kamad,covet,o,khamád,חָמַד,hebrew
kamak,flour,a,kemach,קֶמַח,hebrew
kamar,gamble,o,qamara,قَمَرَ,arabic
kamat,ore,a,khāma,خامة,arabic
kambast,combust,o,,,english
kamor,convex,m,kamor,קמור,hebrew
kampal,compile,o,,,english
kampas,compass,a,,,english
kampit,compete,o,,,english
kamsan,thief,a,chamsan,חַמְסָן,hebrew
kamut,quantity,a,kamut,כַּמּוּת,hebrew
kanan,dig,o,khanana,खनन,sanskrit
kanfat,attitude,a,kànfǎ,看法,chinese
kanik,mouth,a,,ᖃᓂᖅ,inuktitut
kanin,nest,a,lekan(e)n,לְקַנֵּן,hebrew
kanjur,conjure,o,conjurer,,french
kanot,camp,o,laHan(o)t,לַחֲנוֹת,hebrew
kansit,conceit,a,,,english
kansiv,conceive,o,,,english
kansoq,lenient,m,kuansong,宽松,chinese
kanstrul,construe,o,,,english
kantemp,contempt,o,,,english
kantriv,contrive,o,,,english
kantrup,gargle,a,khantrüpa,ཁ་འཁྲུད་པ,tibetan
kanvardj,converge,o,,,english
kanyan,canyon,a,,,english
kanzoq,fancy,m,kanzhong,看中,chinese
kap,clone,a,,,
kapal,poison,a,Qa'al,רַעַל,hebrew
kapix,brown,m,kapiśa,कपिश,sanskrit
kapor,concave,m,ka’or,קעור,hebrew
kapot,skim,o,lekap(o)t,לְקַפּוֹת,hebrew
kapxan,caption,a,,,english
kaq,object type,a,,,
kaqan,ravish,o,kuanghuan,狂欢,chinese
kaquk,goose,a,kanguq,ᑲᖑᖅ,inuktitut
kar,down,m,,,
karad,anxiety,o,charada,חֲרָדָה,hebrew
karafs,celery,o,karafs,كَرَفْس,arabic
karan,car,o,,,english
karar,decision,o,qarār,قَرَار,arabic
karaz,cherry,o,karaz,كَرَز,arabic
karib,near,m,qarīb,قَرِيب,arabic
karim,noble/gracious,o,karīm,كَرِيم,arabic
karin,affilliate,o,qarīn,قَرِين ,arabic
karit,cushion,o,karit,כָּרִית,hebrew
karitz,slot,o,charitz,חָרִיץ,hebrew
karix,shark,o,karish,כָּרִישׁ,hebrew
karkat,crab,o,karkaṭa,कर्कट,sanskrit
karkix,rattle,o,lekaRk(e)x,לְקַרְקֵשׁ,hebrew
karnab,cauliflower,o,qarnabīṭ,قَرْنَبِيط,arabic
karnaf,rhino,o,karnaf,קַרְנַף,hebrew
karnal,kernel,o,,,english
karog,exceed,a,laHaR(o)g,לַחֲרוֹג,hebrew
karom,heal,a,likR(o)m,לִקְרוֹם,hebrew
karon,principle,o,ikaron,עִיקָּרוֹן,hebrew
karov,adjacent,o,karov,קרוב,hebrew
karsol,ankle,o,karsol,קַרְסוֹל,hebrew
kartan,carton,o,,,english
kartzef,scrub,o,lekaRtz(e)f,לְקַרְצֵף,hebrew
karvat,market,o,karvaṭa,कर्वट,sanskrit
kasal,skill,o,kauśala,कौशल,sanskrit
kasan,instant,o,,क्षण,sanskrit
kasat,allot,o,qassaṭa,قَسَّطَ,arabic
kastal,tube,o,qastal,قَسْطَل,arabic
kat,concatenate,a,,,english
katar,ooze,o,qatara,قَطَرَ,arabic
katif,shoulder,o,katef,כָּתֵף,hebrew
katil,fool,o,khatil,خَطِل,arabic
katlist,catalyst,m,catalyst,,english
kator,cruel,o,kaṭhora,कठोर,sanskrit
katrig,accuse,a,lekatR(e)g,לְקַטְרֵג,hebrew
katsek,tip (peak),o,qatseh,קָצֶה,hebrew
katul,cat,o,chatul,חָתוּל,hebrew
katxam,glass,o,kācá,काच,sanskrit
katzav,butcher,o,katzav,קַצָּב,hebrew
kavak,dust,o,avák,אָבָק,hebrew
kavan,intention,o,kavana,כַּווָּנָה,hebrew
kavid,liver,o,kaved,כָּבֵד,hebrew
kavik,wolverine,o,qavvik,ᖃᕝᕕᒃ,inuktitut
kavit,poem,o,,कविता,sanskrit
kavix,spider,o,akavísh,עַכָּבִישׁ,hebrew
kavod,honor/respect,o,kavod,כָּבוֹד,hebrew
kavyat,caveat,o,,,english
kaxad,suspicion,o,chashad,חֲשָׁד,hebrew
kaxkix,babble,o,lekaxk(e)x,לְקַשְׁקֵשׁ,hebrew
kaxun,caution,o,,,english
kayak,kayak,o,,ᖃᔭᖅ,inuktitut
kayfam,however,m,kayfamā,كَيْفَمَا,arabic
kayot,coyote,o,,,english
kaz,cause,o,,,
kazar,return at regular intervals,o,chazár,חָזַר,hebrew
kazit,facade,o,chazit,חֲזִית,hebrew
kehal,cute,m,kě ài,可爱,chinese
kek,call,o,,,
kekep,harsh,m,kē kè,苛刻,chinese
kekol,palatable,m,kě kǒu,可口,chinese
kelip,granular,m,kē lì,颗粒,chinese
kemar,arch,o,kemer,קֶמֶר,hebrew
kemik,chemistry,o,,,english
kemun,discipline,o,kēmù,科目,chinese
kenan,canidae,o,,,
kendiq,approve,m,kěndìng,肯定,chinese
kenwan,crave,m,kewang,渴望,chinese
kepak,monstrous,m,kě pà,可怕,chinese
kepk,terrible,m,kepa,可怕,chinese
keren,guest,o,keren,客人,chinese
kesem,magic,o,kesem,קֶסֶם,hebrew
ketsef,sequence,o,Qetsef,רֶצֶף,hebrew
ketxul,demand,o,keqiu,苛求,chinese
ketzev,rhythm,o,ketzev,קֶצֶב,hebrew
kevur,grave,o,kever,קֵבֶר,hebrew
kexet,arc,o,keshet,קשת,hebrew
keyak,zelkova,o,,,japanese
kibuk,hug,o,chibuk,חִיבּוּק,hebrew
kid,liquid,o,,,english
kidak,gun,o,ekedaH,אֶקְדָח,hebrew
kidum,promotion,o,kidum,קִדּוּם,hebrew
kif,will (future),a,,,english
kifal,crease,o,kefel,קֵפֶל,hebrew
kigyak,beaver,o,kigiaq,ᑭᒋᐊᖅ,inuktitut
kihut,blunt,m,kehut,קֵהוּת,hebrew
kik,if,m,,,
kikab,maple (tree),o,al-qiqab,القيقب,arabic
kikap,background,o,Qeka',רֶקַע,hebrew
kikar,plaza,o,kikar,כִּיכָּר,hebrew
kikman,tissue,o,Qikmah,רִקמָה,hebrew
kikuq,finch (bird),m,què kē,雀科,chinese
kilan,pathetic,m,kelian,可怜,chinese
kilat,lack,m,qillah,قِلَّة,arabic
kilxon,pitchfork,a,kilshon,קִלְשׁוֹן,hebrew
kim,back area,a,,,
kimat,value,a,qîmah,قِيْمَة,arabic
kimik,dog,a,,ᕿᒻᒥᒃ,inuktitut
kin,can,o,,,
kinam,lamentation,o,kina,קִינָה,hebrew
kinat,louse,a,kinat,כִּנָּה,hebrew
kip,group,o,,,
kipan,ghast,a,kepa,可怕,chinese
kipod,hedgehog,o,kipod,קִיפּוֹד,hebrew
kipul,fold,a,kipul,קִיפּוּל,hebrew
kiq,action type,a,,,
kiqak,hill,o,,ᑭᖓᖅ,inuktitut
kiqk,10^12,o,,,
kircer,silence,o,,kyrrþeyr,icelandic
kirvan,similarity,o,kirva,קִרְבָה,hebrew
kisaf,silver,o,kesef,כֶּסֶף,hebrew
kisfim,longing,a,kisufim,כִּיסּוּפִים,hebrew
kitam,stain,o,ketem,כֶּתֶם,hebrew
kitir,crown,o,keter,כֶּתֶר,hebrew
kitor,steam,o,kitor,קִיטוֹר,hebrew
kitzaf,foam,o,ketzef,קֶצֶף,hebrew
kitzon,external,o,khitzoní,חִיצוֹנִי,hebrew
kitzub,ration,o,ktzuba,קְצוּבָּה,hebrew
kival,isolation,o,,केवल,sanskrit
kivutz,compress,a,kivutz,כִּיוּוּץ,hebrew
kiwat,watt (measurement),o,,,english
kix,process,o,,,
kixar,knot,o,kesher,קֶשֶׁר,hebrew
kixiq,viable,m,kexing,可行,chinese
kixub,push,a,,क्षुभ्,sanskrit
kixut,decorate,a,kishut,קִישּׁוּט,hebrew
kiyar,cucumber,o,ḵiyār,خِيَار,arabic
kiyor,sink (down),o,kiyor,כִּיּוֹר,hebrew
kiyuv,obligate,a,chiyuv,חִיּוּב,hebrew
klakin,ice,o,,klaki,icelandic
klalak,curse,o,klala,קְלָלָה,hebrew
klam,climb,a,,,english
klantam,fatigue,o,,क्लान्त,sanskrit
klap,danish a vowel sound,o,,,
klazet,closet,o,,,english
klek,click,o,,,english
kliq,k sound,o,,,
klitap,absorb,a,klita,קְלִיטָה,hebrew
klor,color,o,,,english
klowak,shoot,a,likl(o)a,לִקְלוֹעַ,hebrew
kod,code,o,,,
kodex,holy,m,kodesh,קוֹדֶשׁ,hebrew
kodjiq,caliber,a,kǒu jìng,口径,chinese
kol,all,m,kol,כֹּל,hebrew
kolav,rack,o,kolav,קוֹלָב,hebrew
kold,cold,m,,,english
koles,coalesce,o,,,english
kon,intersect,a,,,
konan,mourn,o,lekon(e)n,לְקוֹנֵן,hebrew
konbal,whitespace,o,kòngbái,空白,chinese
koqdip,vacate,a,kòngdì,空地,chinese
koqdjan,leeway,o,kōngjiān,空间,chinese
koqdjum,funk,o,kongju,恐惧,chinese
koraf,winter,o,choref,חוֹרֶף,hebrew
korban,victim,o,korban,קוֹרְבָּן,hebrew
kordat,cord,o,chordatus,,latin
kormant,cormorant,o,,,english
korvid,corvid,m,,,
kotir,diameter,o,koter,קוֹטֶר,hebrew
kov,cover,o,,,
kox,cell (biology),o,koshA,कोशा,sanskrit
koxar,fit,m,kosher,כּוֹשֶׁר,hebrew
koxix,gather,a,lekox(e)x,לְקוֹשֵׁשׁ,hebrew
krakdal,crocodile,o,,,english
krakol,crackle,o,,,english
kral,crawl,a,,,
kranik,chronic,m,,,english
krast,crest,m,crest,,english
krat,cut,m,cut,,english
kredol,cradle,o,,,english
krenatx,crane,o,,,english
kreqkit,cranky,m,,,english
kriket,cricket,o,,,english
krilat,frolic,m,,क्रीळति,sanskrit
krinat,buy,a,krīṇā́ti,क्रीणाति,sanskrit
kripol,cripple,o,,,english
krisat,collapse,a,krisa,קְרִיסָה,hebrew
kritak,diacritic,o,,,english
kritik,critic,a,,,english
krixnam,wicked,m,kṛṣṇa,कृष्ण,
krot,right (vs. wrong),o,,,
kubox,conquer,a,liHb(o)x,לִכְבּוֹשׁ,hebrew
kudjeq,build,a,kujenga,,swahili
kugan,thrill,a,kuaigan,快感,chinese
kugyuk,swan,o,qugjuq,ᖁᒡᔪᒃ,inuktitut
kuj,recursion,o,,,
kukyat,infamy,o,kukhyāti,कुख्याति,sanskrit
kul,cool (interjection),m,,,english
kulam,coulomb,o,,,
kulip,pay,a,kulipa,,swahili
kumat,pear,o,kummaṯrā,كُمَّثْرَى,arabic
kumkum,kettle,o,kumkum,קוּמְקוּם,hebrew
kundal,bowl,o,kuṇḍa,कुण्ड,sanskrit
kunkum,saffron,o,kuṅkuma,कुङ्कुम,sanskrit
kup,tone/sound,o,,,
kupit,pass,a,kupita,,swahili
kuq,fusion type,o,,,
kur,top,o,,,
kurak,ball,o,kura,كرة,arabic
kurfus,cringe,o,qurfus,قرفص,arabic
kuron,beam,o,likR(o)n,לִקְרוֹן,hebrew
kursuf,artichoke,o,ḵuršūf,خُرْشُوف,arabic
kurun,cabbage,o,kurunb,كرمب,arabic
kutek,draw,a,kuteka,,swahili
kutun,cottonwood (tree),o,quṭun,قُطُن,arabic
kuv,divide,a,,,
kuvut,pull,a,kuvuta,,swahili
kuzam,lavender (vegetable),o,al-ḵuzāmā,الْخُزَامَى,arabic
kwal,piece,o,kuài,块,chinese
kwalek,merry,o,kuài lè,快乐,chinese
kwansoq,baggy,m,kuān sōng,宽松,chinese
kwarkan,quark,m,quark,,english
kwejan,equation,o,,,english
kwek,quick,m,,,english
kwelak,quail,o,,,english
kwerkus,oak,o,quercus,,latin
kwiden,equidae,o,,,latin
kwiwut,burly,m,kuí wú,魁梧,chinese
kyalkan,trick,a,,ཀྱལ་ཀ,tibetan
kyun,communicate,a,,,
lab,current (-ing),o,,,
laban,drool,a,laʿaba ,لَعَبَ ,arabic
labot,fan (action),o,lelab(o)t,לְלַבּוֹת,hebrew
laCad,stack,o,,hlaða,icelandic
ladid,delicious,m,ladhîdh,لَذِيذ,arabic
ladj,l sound,o,,,
ladjil,litter,o,laji,垃圾,chinese
ladjip,garbage,o,lā jī,垃圾,chinese
laf,four,o,,,
lahak,flock,o,lahak,לַהַק,hebrew
lahit,hit (popular),a,lahit,לָהִיט,hebrew
lak,like,a,,,english
lakam,meat,o,laḥm,لَحْم,arabic
lakek,lick,o,lelak(e)k,לְלַקֵּק,hebrew
lakok,client,o,lakoach,לָקוֹחַ,hebrew
laksin,diagonal,o,lelaHs(e)n,לְלַכְסֵן,hebrew
laksmin,prosperity,o,lakshmi,लक्ष्मी,sanskrit
lal,y-axis,a,,,
laltuk,corny,m,lǎo tǔ,老土,chinese
lalxik,old-fashioned,m,lǎo shì,老式,chinese
lalxum,rat,o,lǎoshǔ,老鼠,chinese
lam,low,m,,,english
lamand,salamander,o,,,
lamban,perpendicular,o,,लम्ब,sanskrit
lamid,tutor,o,lelam(e)d,לְלַמֵּד,hebrew
lampat,greed,m,,लम्पट,sanskrit
lan,away,m,yuǎn,遠,chinese
lanak,wool,o,lana,,spanish
land,land,o,,,english
lanmeq,league,o,lián méng,联盟,chinese
lanoq,blush,o,liǎn hóng,脸红,chinese
laq,it (reference),m,,,
laqal,well (good),m,liánghǎo,良好,chinese
laqfek,lavish,m,làng fèi,浪费,chinese
laqxiq,virtuous,m,liáng xìng,良性,chinese
larot,pregnant,m,lahaR(o)t,לַהֲרוֹת,hebrew
lartfet,artifact,m,artifact,,english
larus,gull,o,,,latin
larx,10^3,o,,,
las,back (front),m,,,
lasan,loss,o,,,english
last,last,m,,,english
lastor,luster,o,,,english
lataf,caress,o,lelat(e)f,לְלַטֵּף,hebrew
latif,entertain,a,lateef,لَطِيفٌ,arabic
latix,polish,a,lelat(e)x,לְלַטֵּשׁ,hebrew
lav,love,o,,,english
lavan,salt,o,lavaṇa,लवण,sanskrit
lavax,wear,o,lavásh,לָבַשׁ,hebrew
lavyan,satellite,o,lavyan,לַווְייָן,hebrew
lawuz,almond,o,lawz,لَوْز,arabic
lax,add,a,,,
laxon,language,o,lashon,לָשׁוֹן,hebrew
layan,adhere,a,layana,लयन,sanskrit
layon,lion,o,,,english
lazim,due,m,lāzim,لَازِمٌ,arabic
lazup,candle,o,là zhú,蜡烛,chinese
lebyen,category,o,lèi bié,类别,chinese
leCast,bore (boring),a,,leiðast,icelandic
leCyat,mud,o,,leðja,icelandic
leg,contain,a,,,
legant,elegant,m,,,english
lek,collect,a,,,
lepor,leporidae,o,,,
let,late,m,,,english
letar,letter (glyph),o,,,english
letxuk,fun,o,lè qù,乐趣,chinese
libas,dress (put on clothes),o,libās,لِبَاس,arabic
liC,point,o,,lið,icelandic
lid,solve,a,,,
lig,this,m,,,
liglug,ridicule,a,liglug,לִיגְלוּג,hebrew
lihim,bread,o,lechem,לֶחֶם,hebrew
likluk,trash,o,lichluch,לִיכְלוּךְ,hebrew
likxaq,mangle,o,lieshang,裂伤,chinese
lim,branch,o,,,
limaks,slug (animal),o,,,latin
limgarC,hedge,o,,limgerði,icelandic
limpat,smear,a,,लिम्पति,sanskrit
linmar,courtesy,o,limao,礼貌,chinese
linsek,miserly,m,lìn sè,吝啬,chinese
linset,stingy,m,lìn sè,吝啬,chinese
linxik,temporary,m,linshi,临时,chinese
lip,chain,o,,,
lipard,leopard,o,,,english
liqhul,nimble,m,líng huó,灵活,chinese
liqloq,exquisite,m,linglong,玲珑,chinese
liqun,ghost,a,línghún,灵魂,chinese
lis,less of (-less) empty,m,,,english
lisan,discrete,m,lí sàn,离散,chinese
lit,let,a,,,english
litam,altruistic,m,lì tā,利他,chinese
litar,liter (measurement),o,,,english
litxaq,view,o,lìchǎng,立场,chinese
litzan,clown,o,letzan,לֵיצָן,hebrew
liv,life,m,live,,english
lix,instance,o,,,
lixaq,ideal,a,lǐxiǎng,理想,chinese
lixik,history,o,lì shǐ,历史,chinese
liyoq,utilize,a,lìyòng,利用,chinese
liz,always,m,,,
lizard,lizard,o,,,english
loban,boss,o,laoban,老板,chinese
lod,load,o,,,
log,start,a,,,
lohat,painting,o,laohah,لَوْحَة,arabic
lokan,open space,o,loká,लोक,sanskrit
lokmat,warfare,o,lochma,לוֹחְמָה,hebrew
lon,loan,o,,,
lop,depart,a,,,english
lor,explore,a,,,english
los,separate,a,,,
loven,white,m,loven,לוֹבֶן,hebrew
lox,hide,a,,,
loxwan,spiral,o,luó xuán,螺旋,chinese
lud,along,m,,,
luf,far (large-distance-focus),m,,,
lug,logarithm,o,,,english
lugom,swallow (throat),a,lilg(o)m,לִלְגּוֹם,hebrew
luk,look,a,,,english
lul,block/prevent,o,,,
lulaq,stray,o,liulang,流浪,chinese
luluk,frog,o,lūlukḥ,लूलुकः,sanskrit
luman,lumen (measurement),o,,,english
lumbat,harass,a,,लुम्बति,sanskrit
lunkom,profile,o,lunkuo,轮廓,chinese
lup,loop,o,,,
lupsum,bolt,o,luoshaung,螺栓,chinese
lus,bit off,a,,,
lusul,halogen,o,lusu,卤素,chinese
lut,have (participle),a,,,
lutip,fluid,o,liú tǐ,流体,chinese
lutrin,otter,o,,,latin
luwek,reed (plant),m,lúwěi,芦苇,chinese
lux,thread,o,,,
luxiq,popular,m,liúxíng,流行,chinese
luyol,travel,a,lǔyóu,旅遊,chinese
mab,evaluation,o,,,
mabat,sight,o,mabat,מַבָּט,hebrew
mac,allow,a,,,
mad,positive,m,,,
madaf,shelf,o,madaf,מַדָּף,hebrew
madhul,sweet,m,madhula,मधुल,sanskrit
madil,armadillo,o,,,english
madim,uniform (clothing),o,madim,מַדִּים,hebrew
madjat,dive,a,,मज्जति,sanskrit
